far, high, below, narrow, enemy,,
Agent Skill,,,,,,
0,1,1,1,1,,
Blocks Feature Counts Over Time,,,,,,
2,1,5,3,2,6,0.333333333
8,5,18,18,14,27,0.296296296
4,5,4,8,8,11,0.363636364
13,11,42,40,40,59,0.220338983
1,0,0,1,1,1,0.5
5,2,8,8,7,11,0.454545455
2,0,2,2,2,3,0.666666667
3,4,5,6,8,11,0.272727273
2,0,2,1,2,2,0.5
1,0,1,0,1,1,0.5
1,0,0,1,0,1,0.5
9,9,24,20,19,36,0.25
2,0,2,2,2,3,0.666666667
2,3,12,10,10,16,0.125
5,0,5,3,3,6,0.833333333
5,4,18,13,12,24,0.208333333
4,10,22,15,18,33,0.121212121
11,9,25,26,27,39,0.282051282
1,0,1,0,0,1,0.5
8,6,22,21,16,32,0.25
2,0,3,0,3,3,0.666666667
2,1,7,6,6,8,0.25
4,1,6,5,6,10,0.4
4,2,7,5,6,10,0.4
14,19,36,38,38,58,0.24137931
1,0,0,1,0,1,0.5
5,5,7,10,11,14,0.357142857
4,4,14,11,15,19,0.210526316
20,20,49,49,49,78,0.256410256
1,0,1,0,0,1,0.5
3,0,3,1,3,3,0.5
9,8,15,16,25,29,0.310344828
1,0,1,1,1,1,0.5
23,25,64,66,60,97,0.237113402
6,3,9,7,8,14,0.428571429
2,4,3,3,6,7,0.285714286
4,2,6,6,4,9,0.444444444
4,2,6,6,7,10,0.4
2,0,2,2,3,3,0.666666667
4,3,6,9,8,10,0.4
4,3,7,6,6,11,0.363636364
2,1,6,7,6,8,0.25
3,1,3,3,4,4,0.75
5,3,6,6,7,11,0.454545455
1,0,1,0,0,1,0.5
20,14,50,48,41,70,0.285714286
18,8,37,34,36,53,0.339622642
1,0,1,1,1,1,0.5
5,4,14,15,12,19,0.263157895
11,19,26,26,31,47,0.234042553
9,9,21,20,26,35,0.257142857
5,6,18,16,19,27,0.185185185
1,0,0,1,0,1,0.5
2,2,5,3,5,7,0.285714286
3,0,5,6,5,6,0.5
10,9,22,25,28,37,0.27027027
4,6,18,17,17,27,0.148148148
3,1,6,6,4,8,0.375
4,6,26,23,26,34,0.117647059
5,6,11,13,14,21,0.238095238
2,3,3,4,5,6,0.333333333
3,8,16,16,15,24,0.125
6,11,21,23,21,35,0.171428571
2,1,4,6,5,6,0.333333333
2,0,6,5,5,7,0.285714286
3,10,8,11,14,19,0.157894737
5,2,10,6,8,13,0.384615385
1,0,1,1,0,1,0.5
1,0,0,0,1,1,0.5
2,4,5,6,7,9,0.222222222
2,1,3,2,1,4,0.5
8,6,10,9,12,19,0.421052632
19,20,65,45,60,88,0.215909091
